reportdate,Acute,ICU
2023-07-10,67,11.428571428571429
2023-07-11,66.57142857142857,10.714285714285714
2023-07-12,65.71428571428571,10.571428571428571
2023-07-13,65.57142857142857,10.285714285714286
2023-07-14,65.14285714285714,10
2023-07-15,63.57142857142857,10.142857142857142
2023-07-16,62.285714285714285,10.714285714285714
2023-07-17,63.857142857142854,10.571428571428571
2023-07-18,66,11
2023-07-19,67.42857142857143,11.714285714285714
2023-07-20,67.85714285714286,11.857142857142858
2023-07-21,67.85714285714286,11.571428571428571
2023-07-22,69.85714285714286,10.571428571428571
2023-07-23,70.42857142857143,10
2023-07-24,70,10.285714285714286
2023-07-25,68.57142857142857,10.142857142857142
2023-07-26,69,9.571428571428571
2023-07-27,70.57142857142857,9.142857142857142
2023-07-28,73.57142857142857,9.142857142857142
2023-07-29,77.14285714285714,9.285714285714286
2023-07-30,82,9.571428571428571
2023-07-31,87.71428571428571,10
2023-08-01,94.57142857142857,11.142857142857142
2023-08-02,98.14285714285714,12.428571428571429
2023-08-03,102.71428571428571,13.428571428571429
2023-08-04,107,14.428571428571429
2023-08-05,108.42857142857143,15.714285714285714
2023-08-06,109.57142857142857,16.857142857142858
2023-08-07,109.85714285714286,17
2023-08-08,110,16.857142857142858
2023-08-09,112.14285714285714,16.285714285714285
2023-08-10,112.28571428571429,16.285714285714285
2023-08-11,111.42857142857143,16.428571428571427
2023-08-12,112.14285714285714,16.857142857142858
2023-08-13,114.57142857142857,16.571428571428573
2023-08-14,118.42857142857143,16.571428571428573
2023-08-15,121.42857142857143,16.714285714285715
2023-08-16,126.42857142857143,17.428571428571427
2023-08-17,131.71428571428572,18
2023-08-18,137.14285714285714,18.142857142857142
2023-08-19,143.57142857142858,18
2023-08-20,149.71428571428572,18.142857142857142
2023-08-21,154.85714285714286,18.285714285714285
2023-08-22,157,18.857142857142858
2023-08-23,155.14285714285714,18.857142857142858
2023-08-24,153.57142857142858,19.285714285714285
2023-08-25,152.85714285714286,19.571428571428573
2023-08-26,152.14285714285714,20.285714285714285
2023-08-27,152.28571428571428,21.285714285714285
2023-08-28,151.71428571428572,22.857142857142858
2023-08-29,155.28571428571428,23.285714285714285
2023-08-30,161.71428571428572,23.714285714285715
2023-08-31,167.71428571428572,23.857142857142858
2023-09-01,170.71428571428572,23.714285714285715
2023-09-02,172.14285714285714,22.857142857142858
2023-09-03,171.57142857142858,21.714285714285715
2023-09-04,175.42857142857142,20.142857142857142
2023-09-05,185.85714285714286,18.714285714285715
2023-09-06,188.71428571428572,18
2023-09-07,193.14285714285714,18.571428571428573
2023-09-08,202.14285714285714,19.714285714285715
2023-09-09,211,21.714285714285715
2023-09-10,220.71428571428572,23.857142857142858
2023-09-11,229.71428571428572,26.142857142857142
2023-09-12,229.85714285714286,30
2023-09-13,236.85714285714286,33.42857142857143
2023-09-14,237.57142857142858,35.42857142857143
2023-09-15,236.57142857142858,36.57142857142857
2023-09-16,236.14285714285714,37.714285714285715
2023-09-17,234.85714285714286,38.857142857142854
2023-09-18,228.42857142857142,39.42857142857143
2023-09-19,223.71428571428572,37.714285714285715
