date,avg7
2023-04-02,257
2023-04-03,250.71428571428572
2023-04-04,250.14285714285714
2023-04-05,248.71428571428572
2023-04-06,233.42857142857142
2023-04-07,226.28571428571428
2023-04-08,214.42857142857142
2023-04-09,212.14285714285714
2023-04-10,211.57142857142858
2023-04-11,202.28571428571428
2023-04-12,195.85714285714286
2023-04-13,193.28571428571428
2023-04-14,187.14285714285714
2023-04-15,184.42857142857142
2023-04-16,183.42857142857142
2023-04-17,180.14285714285714
2023-04-18,187
2023-04-19,194
2023-04-20,193.71428571428572
2023-04-21,198.71428571428572
2023-04-22,206
2023-04-23,204.85714285714286
2023-04-24,206.85714285714286
2023-04-25,198.28571428571428
2023-04-26,191.57142857142858
2023-04-27,191.14285714285714
2023-04-28,188.71428571428572
2023-04-29,185
2023-04-30,185.42857142857142
2023-05-01,181.42857142857142
2023-05-02,179.14285714285714
2023-05-03,180.28571428571428
2023-05-04,175.42857142857142
2023-05-05,170.71428571428572
2023-05-06,173.85714285714286
2023-05-07,172.85714285714286
2023-05-08,161.57142857142858
2023-05-09,165.57142857142858
2023-05-10,161.57142857142858
2023-05-11,163.42857142857142
2023-05-12,163.85714285714286
2023-05-13,160.85714285714286
2023-05-14,146.85714285714286
2023-05-15,145.14285714285714
2023-05-16,144.14285714285714
2023-05-17,144.42857142857142
2023-05-18,143.42857142857142
2023-05-19,142
2023-05-20,138.14285714285714
2023-05-21,147.28571428571428
2023-05-22,151.28571428571428
2023-05-23,137
2023-05-24,121.42857142857143
2023-05-25,107.28571428571429
2023-05-26,92
2023-05-27,79.71428571428571
2023-05-28,70.57142857142857
2023-05-29,65.71428571428571
2023-05-30,56.57142857142857
2023-05-31,56.714285714285715
2023-06-01,59.57142857142857
2023-06-02,59.285714285714285
2023-06-03,58.142857142857146
2023-06-04,57
2023-06-05,56
2023-06-06,59.42857142857143
2023-06-07,60
2023-06-08,54.57142857142857
2023-06-09,53.857142857142854
2023-06-10,49
2023-06-11,48.57142857142857
2023-06-12,49.714285714285715
2023-06-13,53.57142857142857
2023-06-14,52.714285714285715
2023-06-15,53.57142857142857
2023-06-16,52.57142857142857
2023-06-17,54.285714285714285
2023-06-18,54
2023-06-19,51.857142857142854
2023-06-20,44.857142857142854
2023-06-21,49.714285714285715
2023-06-22,51.857142857142854
2023-06-23,53.142857142857146
2023-06-24,53.714285714285715
2023-06-25,52.285714285714285
2023-06-26,53.285714285714285
2023-06-27,54.42857142857143
2023-06-28,54.142857142857146
2023-06-29,52.285714285714285
2023-06-30,53.42857142857143
2023-07-01,54
2023-07-02,57.142857142857146
2023-07-03,58.57142857142857
2023-07-04,63.57142857142857
2023-07-05,58.142857142857146
2023-07-06,61.142857142857146
2023-07-07,59.42857142857143
2023-07-08,62.285714285714285
2023-07-09,62.285714285714285
2023-07-10,60.57142857142857
2023-07-11,62.42857142857143
2023-07-12,67.42857142857143
2023-07-13,65.57142857142857
2023-07-14,80.85714285714286
2023-07-15,82.85714285714286
2023-07-16,86.42857142857143
2023-07-17,89.14285714285714
2023-07-18,91.42857142857143
2023-07-19,94.28571428571429
2023-07-20,100
2023-07-21,91.85714285714286
2023-07-22,90.85714285714286
2023-07-23,91
2023-07-24,91.85714285714286
2023-07-25,98.14285714285714
2023-07-26,105.28571428571429
2023-07-27,110
2023-07-28,109.42857142857143
2023-07-29,117.42857142857143
2023-07-30,120.85714285714286
2023-07-31,124.42857142857143
2023-08-01,125.42857142857143
2023-08-02,122.28571428571429
2023-08-03,121.71428571428571
2023-08-04,131.85714285714286
2023-08-05,128
2023-08-06,134
2023-08-07,134.85714285714286
2023-08-08,136.28571428571428
2023-08-09,142.85714285714286
2023-08-10,149.42857142857142
2023-08-11,157.28571428571428
2023-08-12,169.28571428571428
2023-08-13,166.57142857142858
2023-08-14,169.14285714285714
2023-08-15,177.85714285714286
2023-08-16,182.85714285714286
2023-08-17,192.57142857142858
2023-08-18,196
2023-08-19,200.28571428571428
2023-08-20,200.71428571428572
2023-08-21,201.85714285714286
2023-08-22,213.71428571428572
2023-08-23,217.71428571428572
2023-08-24,227
2023-08-25,233.85714285714286
2023-08-26,230
2023-08-27,238
2023-08-28,242.28571428571428
2023-08-29,262.85714285714283
2023-08-30,268.42857142857144
2023-08-31,278.85714285714283
2023-09-01,288.2857142857143
2023-09-02,305.2857142857143
2023-09-03,310.2857142857143
2023-09-04,312.2857142857143
2023-09-05,274.2857142857143
2023-09-06,302.2857142857143
2023-09-07,305.42857142857144
2023-09-08,319
2023-09-09,349
2023-09-10,358
2023-09-11,360.7142857142857
2023-09-12,401.14285714285717
2023-09-13,380.42857142857144
2023-09-14,391.57142857142856
2023-09-15,387.7142857142857
2023-09-16,355
2023-09-17,343.42857142857144
2023-09-18,340.14285714285717
2023-09-19,326.2857142857143
